[array([ 0.22589592, -0.05402977]), -10]
[array([ 0.22955334, -0.05125199]), -10]
[array([ 0.18229071, -0.05865316]), -10]
[array([ 0.04071064, -0.09393811]), 10]
[array([-0.06254026, -0.11007433]), 10]
[array([-0.17112865, -0.13097499]), 10]
[array([-0.18616783, -0.12732738]), 10]
[array([-0.31297061, -0.15104544]), 10]
[array([-0.38689159, -0.15943716]), 10]
[array([-0.52868453, -0.18168277]), 10]
[array([-0.74912352, -0.21234411]), 10]
[array([-0.89075258, -0.22734399]), 10]
[array([-0.98107997, -0.23157872]), 10]
[array([-1.14229001, -0.24485811]), 10]
[array([-1.31090062, -0.25726155]), 10]
[array([-1.30577393, -0.24820305]), 10]
[array([-1.28156671, -0.23651388]), 10]
[array([-1.40117215, -0.24364322]), 10]
[array([-1.25202973, -0.21659749]), 10]
[array([-1.22314898, -0.20690333]), 10]
[array([-1.19453959, -0.19377722]), 10]
[array([-1.18294359, -0.18672422]), 10]
[array([-1.06469835, -0.16092188]), 10]
[array([-1.15044671, -0.16984561]), 10]
[array([-1.04543074, -0.14652644]), 10]
[array([-1.04205179, -0.13631349]), 10]
[array([-1.04271484, -0.13069983]), 10]
[array([-0.95478833, -0.11005583]), 10]
[array([-0.93475464, -0.10123272]), 10]
[array([-0.97812698, -0.10501116]), 10]
[array([-0.92790553,  0.21205218]), 10]
[array([-0.82839835, -0.06651655]), 10]
[array([-0.78854636,  0.2360339 ]), 10]
[array([-0.71283705,  0.24301496]), 10]
[array([-0.61515546,  0.26655668]), 10]
[array([-0.48326102,  0.26027973]), 10]
[array([-0.36452939,  0.28648457]), -10]
[array([-0.25971495,  0.29257862]), -10]
[array([-0.17819422,  0.29538173]), -10]
[array([-0.00262525,  0.32226762]), -10]
[array([0.14119553, 0.32918251]), -10]
[array([0.23843298, 0.33166123]), -10]
[array([0.49134866, 0.3525744 ]), -10]
[array([0.80816617, 0.37648462]), -10]
[array([0.92771344, 0.37492429]), -10]
[array([1.35236448, 0.3956789 ]), -10]
[array([1.70364616, 0.40583368]), -10]
[array([2.56204223, 0.31693271]), -10]
[array([2.42438301, 0.4113669 ]), -10]
[array([2.8685122 , 0.31979065]), -10]
[array([2.25479682, 0.3912834 ]), -10]
[array([2.4518062 , 0.28300349]), -10]
[array([2.42003628, 0.27470165]), -10]
[array([2.36990636, 0.2653186 ]), -10]
[array([2.10680337, 0.35617362]), -10]
[array([2.15853405, 0.35130912]), -10]
[array([1.97605593, 0.33286568]), -10]
[array([1.76727308, 0.30999484]), -10]
[array([2.14745704, 0.33045718]), -10]
[array([1.73553258, 0.29159707]), -10]
[array([1.48985527, 0.25925396]), -10]
[array([1.67311681, 0.27169934]), -10]
[array([1.57579626, 0.25465057]), -10]
[array([1.5094955 , 0.24078118]), -10]
[array([1.48360708, 0.22969273]), -10]
[array([1.49778518, 0.22433834]), -10]
[array([1.38671404, 0.20315018]), -10]
[array([1.29211936, 0.17592279]), -10]
[array([1.2419229 , 0.16223312]), -10]
[array([1.24492882, 0.15741673]), -10]
[array([1.22175469, 0.14728696]), -10]
[array([1.19701525, 0.13755307]), -10]
[array([1.05054373, 0.10502118]), -10]
[array([1.11147219, 0.11213746]), -10]
[array([1.02642977, 0.09199796]), -10]
[array([1.02110446, 0.08625029]), -10]
[array([0.98622644, 0.0753874 ]), -10]
[array([0.91768067, 0.05650923]), -10]
[array([0.87719964, 0.04463168]), -10]
[array([0.87622435, 0.04196351]), -10]
[array([0.81011494, 0.02467568]), -10]
[array([ 0.72022384, -0.11143068]), -10]
[array([ 0.67789028, -0.11901096]), -10]
[array([ 0.59874081, -0.13524529]), -10]
[array([ 0.56231866, -0.13819407]), -10]
[array([ 0.43350802, -0.15612696]), -10]
[array([ 0.35618953, -0.17277851]), -10]
[array([ 0.21919456, -0.20252157]), -10]
[array([ 0.15077675, -0.20911451]), -10]
[array([ 0.01060411, -0.23287279]), 10]
[array([-0.05160855, -0.23424657]), 10]
[array([-0.16161211, -0.24755268]), 10]
[array([-0.2820594 , -0.26105024]), 10]
[array([-0.3458715 , -0.26011218]), 10]
[array([-0.63331165, -0.29602779]), 10]
[array([-0.80636735, -0.30923112]), 10]
[array([-1.09320193, -0.33034585]), 10]
[array([-1.50451679, -0.35447718]), 10]
[array([-1.99584267, -0.3670719 ]), -5]
[array([-2.38718364, -0.3784334 ]), -5]
[array([-2.73108092, -0.38539107]), -5]
[array([-2.61124848, -0.3742254 ]), -5]
[array([-2.56308112, -0.36537862]), -5]
[array([-2.22323611, -0.34126774]), -5]
[array([-2.37376157, -0.34345524]), -5]
[array([-2.20761355, -0.32745196]), -5]
[array([-1.66074458, -0.2763354 ]), 10]
