[array([-0.03,  0.85]), 1.61478455806461, -0.398128670046044, -0.10718123217267395]
[array([-0.07,  1.18]), 1.6466282648001713, -0.32014673238782315, -0.0753375254371127]
[array([-0.07,  1.18]), 1.6466282648001713, -0.32014673238782315, -0.0753375254371127]
[array([-0.06,  1.29]), 1.6123688478469242, -0.44480993112825046, -0.10959694239035978]
[array([-0.06,  1.29]), 1.6123688478469242, -0.44480993112825046, -0.10959694239035978]
[array([-0.07,  1.37]), 1.605316495938391, -0.46441540691125116, -0.11664929429889304]
[array([-0.07,  1.47]), 1.610630325379013, -0.45963535625132174, -0.11133546485827095]
[array([-0.07,  1.47]), 1.610630325379013, -0.45963535625132174, -0.11133546485827095]
[array([-0.09,  1.56]), 1.6726486804864549, -0.2785181014017685, -0.04931710975082915]
[array([-0.09,  1.56]), 1.6726486804864549, -0.2785181014017685, -0.04931710975082915]
[array([-0.09,  1.56]), 1.6726486804864549, -0.2785181014017685, -0.04931710975082915]
[array([-0.09,  1.75]), 1.6383555786786441, -0.4030231029206457, -0.0836102115586399]
[array([-0.09,  1.75]), 1.6383555786786441, -0.4030231029206457, -0.0836102115586399]
[array([-0.09,  1.85]), 1.5779488606024945, -0.5901161298393629, -0.14401692963478951]
[array([-0.09,  1.85]), 1.5779488606024945, -0.5901161298393629, -0.14401692963478951]
[array([-0.11,  1.96]), 1.6359547037596007, -0.4296643190979543, -0.0860110864776833]
[array([-0.11,  2.06]), 1.6212576351944066, -0.4805062516597092, -0.10070815504287745]
[array([-0.11,  2.06]), 1.6212576351944066, -0.4805062516597092, -0.10070815504287745]
[array([-0.11,  2.17]), 1.6095712595889031, -0.5325339664508612, -0.1123945306483809]
[array([-0.11,  2.17]), 1.6095712595889031, -0.5325339664508612, -0.1123945306483809]
[array([-0.13,  2.28]), 1.6456096906487077, -0.42344069748837926, -0.07635609958857636]
[array([-0.13,  2.28]), 1.6456096906487077, -0.42344069748837926, -0.07635609958857636]
[array([-0.13,  2.4 ]), 1.6059648857555069, -0.5625486731793126, -0.11600090448177713]
[array([-0.13,  2.4 ]), 1.6059648857555069, -0.5625486731793126, -0.11600090448177713]
[array([-0.14,  2.52]), 1.6564787285655023, -0.4239666717462194, -0.06548706167178175]
[array([-0.14,  2.65]), 1.6564787285655023, -0.4438823149367854, -0.06548706167178175]
[array([-0.14,  2.65]), 1.6161792506698784, -0.5545431895348656, -0.10578653956740558]
[array([-0.16,  2.77]), 1.6362288949850892, -0.49938946987655897, -0.08573689525219486]
[array([-0.16,  2.77]), 1.6362288949850892, -0.49938946987655897, -0.08573689525219486]
[array([-0.19,  2.9 ]), 1.7117351545519426, -0.2826890630283762, -0.010230635685341438]
[array([-0.21,  3.04]), 1.6859873592948207, -0.35293411311457273, -0.035978430942463335]
[array([-0.21,  3.04]), 1.6859873592948207, -0.35293411311457273, -0.035978430942463335]
[array([-0.22,  3.16]), 1.6698015248776763, -0.40684534712569626, -0.05216426535960772]
[array([-0.22,  3.16]), 1.6698015248776763, -0.40684534712569626, -0.05216426535960772]
[array([-0.24,  3.3 ]), 1.7286751457388736, -0.24548740893245055, 0.006709355501589576]
[array([-0.24,  3.3 ]), 1.7286751457388736, -0.24548740893245055, 0.006709355501589576]
[array([-0.28,  3.43]), 1.7484910904672422, -0.16075772164175284, 0.026525300229958138]
[array([-0.29,  3.57]), 1.7045171708973945, -0.3014232010897648, -0.017448619339889504]
[array([-0.29,  3.57]), 1.7045171708973945, -0.3014232010897648, -0.017448619339889504]
[array([-0.31,  3.71]), 1.7014539435272198, -0.30993801280557826, -0.02051184671006423]
[array([-0.31,  3.71]), 1.7014539435272198, -0.30993801280557826, -0.02051184671006423]
[array([-0.35,  3.84]), 1.806929426212993, -0.002878107319127976, 0.08496363597570888]
[array([-0.38,  3.98]), 1.7668823229272073, -0.09977936382888025, 0.04491653268992324]
[array([-0.38,  3.98]), 1.7668823229272073, -0.09977936382888025, 0.04491653268992324]
[array([-0.42,  4.12]), 1.7867124048225167, -0.025007412725990892, 0.06474661458523268]
[array([-0.42,  4.12]), 1.7867124048225167, -0.025007412725990892, 0.06474661458523268]
[array([-0.45,  4.25]), 1.8067449449110566, 0.04048214632888531, 0.08477915467377262]
[array([-0.45,  4.25]), 1.8067449449110566, 0.04048214632888531, 0.08477915467377262]
[array([-0.49,  4.39]), 1.7976931438114387, 0.03712173557344037, 0.07572735357415472]
[array([-0.49,  4.39]), 1.7976931438114387, 0.03712173557344037, 0.07572735357415472]
[array([-0.54,  4.54]), 1.8613027155979232, 0.23586045085892124, 0.13933692536063913]
[array([-0.54,  4.54]), 1.8613027155979232, 0.23586045085892124, 0.13933692536063913]
[array([-0.58,  4.67]), 1.847873454201378, 0.21778752993993666, 0.12590766396409392]
[array([-0.62,  4.81]), 1.8693249469717899, 0.30228573139865, 0.14735915673450584]
[array([-0.62,  4.81]), 1.8693249469717899, 0.30228573139865, 0.14735915673450584]
[array([-0.69,  4.94]), 1.9173281336527916, 0.48332198396739895, 0.19536234341550762]
[array([-0.73,  5.09]), 1.9011744132938833, 0.4572565730897684, 0.17920862305659924]
[array([-0.73,  5.09]), 1.9011744132938833, 0.4572565730897684, 0.17920862305659924]
[array([-0.8 ,  5.23]), 1.9383275861469371, 0.6120094563955568, 0.2163617959096531]
[array([-0.84,  5.37]), 1.9401814748784052, 0.6357972287454654, 0.21821568464112118]
[array([-0.84,  5.37]), 1.9401814748784052, 0.6357972287454654, 0.21821568464112118]
[array([-0.92,  5.51]), 1.9774425090792325, 0.8045334298540633, 0.25547671884194845]
