pos_data(lat=-25.745293, long=28.2477575, heading=243.16219, speed=1.53)
pos_data(lat=-25.7452935, long=28.247756, heading=245.83225000000002, speed=1.5)
pos_data(lat=-25.7452939, long=28.2477545, heading=249.74114000000003, speed=1.56)
pos_data(lat=-25.745294299999998, long=28.247753, heading=251.99284000000003, speed=1.57)
pos_data(lat=-25.745294599999998, long=28.2477515, heading=254.97159000000002, speed=1.51)
pos_data(lat=-25.7452948, long=28.24775, heading=259.10814000000005, speed=1.5)
pos_data(lat=-25.745294899999998, long=28.2477484, heading=262.24011, speed=1.49)
pos_data(lat=-25.745294899999998, long=28.2477469, heading=264.59792000000004, speed=1.47)
pos_data(lat=-25.745295, long=28.2477454, heading=265.78635, speed=1.53)
pos_data(lat=-25.745294899999998, long=28.2477423, heading=269.42744000000005, speed=1.5)
pos_data(lat=-25.7452947, long=28.2477408, heading=274.90358000000003, speed=1.53)
pos_data(lat=-25.745294299999998, long=28.2477393, heading=278.81267, speed=1.54)
pos_data(lat=-25.7452941, long=28.2477378, heading=279.84252000000004, speed=1.51)
pos_data(lat=-25.7452938, long=28.2477363, heading=282.50416, speed=1.53)
pos_data(lat=-25.7452933, long=28.2477348, heading=285.63414, speed=1.53)
pos_data(lat=-25.745292799999998, long=28.247733399999998, heading=289.23851, speed=1.47)
pos_data(lat=-25.745292199999998, long=28.247732, heading=292.04695000000004, speed=1.54)
pos_data(lat=-25.7452915, long=28.247730599999997, heading=296.69407, speed=1.53)
pos_data(lat=-25.745290699999998, long=28.2477293, heading=298.96626000000003, speed=1.55)
pos_data(lat=-25.7452901, long=28.247728, heading=299.26758, speed=1.51)
pos_data(lat=-25.7452893, long=28.2477266, heading=301.31918, speed=1.55)
pos_data(lat=-25.7452884, long=28.2477254, heading=304.11204000000004, speed=1.55)
pos_data(lat=-25.7452878, long=28.2477241, heading=301.69866, speed=1.46)
pos_data(lat=-25.745286999999998, long=28.247722699999997, heading=302.46985, speed=1.58)
pos_data(lat=-25.7452863, long=28.247721499999997, heading=301.95214000000004, speed=1.47)
pos_data(lat=-25.7452856, long=28.2477202, heading=300.10816, speed=1.47)
pos_data(lat=-25.745284899999998, long=28.247718799999998, heading=299.54546000000005, speed=1.56)
pos_data(lat=-25.7452844, long=28.2477174, heading=297.23882000000003, speed=1.5)
pos_data(lat=-25.745283699999998, long=28.247716099999998, heading=295.85724000000005, speed=1.45)
pos_data(lat=-25.7452833, long=28.2477147, heading=293.97448, speed=1.47)
pos_data(lat=-25.7452826, long=28.247713299999997, heading=295.64261000000005, speed=1.54)
pos_data(lat=-25.7452817, long=28.2477105, heading=290.68733000000003, speed=1.45)
pos_data(lat=-25.745281199999997, long=28.247709, heading=290.69957000000005, speed=1.56)
pos_data(lat=-25.7452808, long=28.2477077, heading=289.57027000000005, speed=1.44)
pos_data(lat=-25.7452804, long=28.2477062, heading=288.79553000000004, speed=1.5)
pos_data(lat=-25.745279999999998, long=28.247704799999998, heading=287.55342, speed=1.48)
pos_data(lat=-25.745279699999998, long=28.247703299999998, heading=285.61764000000005, speed=1.49)
pos_data(lat=-25.745279399999998, long=28.247701799999998, heading=283.42023, speed=1.49)
pos_data(lat=-25.745279099999998, long=28.2477004, heading=282.87455, speed=1.43)
pos_data(lat=-25.745278799999998, long=28.247698999999997, heading=284.03713000000005, speed=1.45)
pos_data(lat=-25.7452786, long=28.247697499999997, heading=280.22848000000005, speed=1.44)
pos_data(lat=-25.7452784, long=28.247695999999998, heading=280.60453, speed=1.45)
pos_data(lat=-25.7452781, long=28.247694499999998, heading=281.22353000000004, speed=1.54)
pos_data(lat=-25.745278, long=28.2476915, heading=276.56706, speed=1.55)
pos_data(lat=-25.7452778, long=28.247689899999997, heading=276.64575, speed=1.53)
pos_data(lat=-25.7452778, long=28.247688399999998, heading=273.86578000000003, speed=1.48)
pos_data(lat=-25.7452778, long=28.2476868, heading=271.70501, speed=1.51)
pos_data(lat=-25.7452778, long=28.247685299999997, heading=271.44562, speed=1.49)
pos_data(lat=-25.745277899999998, long=28.247683799999997, heading=269.86711, speed=1.49)
pos_data(lat=-25.745278, long=28.247682299999997, heading=268.45777000000004, speed=1.5)
pos_data(lat=-25.745278, long=28.247680799999998, heading=268.39258, speed=1.51)
pos_data(lat=-25.7452781, long=28.247679299999998, heading=266.84361, speed=1.47)
pos_data(lat=-25.7452784, long=28.247677799999998, heading=263.62484, speed=1.47)
pos_data(lat=-25.745278499999998, long=28.2476763, heading=264.59249, speed=1.49)
pos_data(lat=-25.7452787, long=28.2476748, heading=262.93999, speed=1.49)
pos_data(lat=-25.7452789, long=28.2476733, heading=262.08351000000005, speed=1.45)
pos_data(lat=-25.7452792, long=28.2476719, heading=259.99629000000004, speed=1.48)
pos_data(lat=-25.745279399999998, long=28.247670399999997, heading=259.8219, speed=1.47)
pos_data(lat=-25.745279699999998, long=28.247669, heading=259.53498, speed=1.44)
pos_data(lat=-25.745280299999997, long=28.2476661, heading=256.14174, speed=1.48)
pos_data(lat=-25.7452807, long=28.247664699999998, heading=255.18816, speed=1.45)
pos_data(lat=-25.7452811, long=28.2476633, heading=254.29229, speed=1.4)
pos_data(lat=-25.745281499999997, long=28.247661899999997, heading=253.24508000000003, speed=1.49)
pos_data(lat=-25.7452819, long=28.2476605, heading=253.21844000000002, speed=1.44)
pos_data(lat=-25.745282399999997, long=28.2476591, heading=250.2289, speed=1.46)
pos_data(lat=-25.7452829, long=28.247657699999998, heading=249.98533000000003, speed=1.48)
pos_data(lat=-25.7452833, long=28.2476563, heading=249.39742, speed=1.5)
pos_data(lat=-25.7452839, long=28.247654899999997, heading=246.32982, speed=1.47)
pos_data(lat=-25.7452845, long=28.2476535, heading=246.76859000000002, speed=1.52)
pos_data(lat=-25.745285199999998, long=28.247652199999997, heading=244.57798000000003, speed=1.5)
pos_data(lat=-25.7452859, long=28.2476508, heading=242.08570000000003, speed=1.54)
pos_data(lat=-25.7452865, long=28.2476494, heading=242.06376000000003, speed=1.5)
pos_data(lat=-25.745287299999998, long=28.2476481, heading=240.99582, speed=1.48)
pos_data(lat=-25.745288, long=28.2476469, heading=239.37696000000003, speed=1.47)
pos_data(lat=-25.745288799999997, long=28.2476456, heading=237.90256000000002, speed=1.51)
pos_data(lat=-25.745290299999997, long=28.247643, heading=236.06371000000001, speed=1.5)
pos_data(lat=-25.7452912, long=28.2476418, heading=234.74418000000003, speed=1.48)
pos_data(lat=-25.745292, long=28.2476406, heading=233.34071000000003, speed=1.56)
pos_data(lat=-25.7452929, long=28.247639399999997, heading=232.52300000000002, speed=1.49)
pos_data(lat=-25.7452938, long=28.247638199999997, heading=230.81693, speed=1.5)
pos_data(lat=-25.7452947, long=28.2476371, heading=229.52143, speed=1.52)
pos_data(lat=-25.7452956, long=28.2476359, heading=228.90016000000003, speed=1.52)
pos_data(lat=-25.7452966, long=28.247634899999998, heading=227.31330000000003, speed=1.5)
pos_data(lat=-25.7452975, long=28.2476338, heading=226.47716000000003, speed=1.52)
pos_data(lat=-25.7452985, long=28.2476327, heading=226.10449000000003, speed=1.51)
pos_data(lat=-25.745299499999998, long=28.2476316, heading=223.96244000000002, speed=1.53)
pos_data(lat=-25.7453006, long=28.247630599999997, heading=222.96172, speed=1.55)
pos_data(lat=-25.745301599999998, long=28.2476295, heading=222.06786000000002, speed=1.52)
pos_data(lat=-25.7453027, long=28.247628499999998, heading=221.11561000000003, speed=1.52)
pos_data(lat=-25.745305, long=28.2476266, heading=217.89491, speed=1.57)
pos_data(lat=-25.7453061, long=28.2476257, heading=216.98646000000002, speed=1.51)
pos_data(lat=-25.7453072, long=28.247624799999997, heading=215.77287, speed=1.55)
pos_data(lat=-25.7453084, long=28.247624, heading=214.63559, speed=1.54)
pos_data(lat=-25.7453096, long=28.2476232, heading=213.73634, speed=1.48)
pos_data(lat=-25.7453108, long=28.2476225, heading=210.64141, speed=1.57)
pos_data(lat=-25.745312, long=28.2476217, heading=211.01445, speed=1.5)
pos_data(lat=-25.7453133, long=28.247621, heading=209.62796000000003, speed=1.54)
pos_data(lat=-25.7453146, long=28.2476204, heading=205.68074000000001, speed=1.53)
pos_data(lat=-25.7453158, long=28.2476198, heading=204.70597, speed=1.53)
pos_data(lat=-25.745317099999998, long=28.247619099999998, heading=205.90064, speed=1.52)
pos_data(lat=-25.7453184, long=28.2476186, heading=202.74359, speed=1.51)
pos_data(lat=-25.7453196, long=28.247618, heading=203.63682000000003, speed=1.51)
pos_data(lat=-25.7453208, long=28.247617299999998, heading=205.47377000000003, speed=1.45)
pos_data(lat=-25.745321999999998, long=28.2476165, heading=208.23639000000003, speed=1.48)
pos_data(lat=-25.745323199999998, long=28.247615699999997, heading=209.20789000000002, speed=1.51)
