[array([-1.29,  7.31]), 2.0675557782218767, 0.6648018284874341, 0.47276405783511]
[array([-1.29,  7.31]), 2.0675557782218767, 0.6648018284874341, 0.47276405783511]
[array([-1.29,  7.31]), 2.0675557782218767, 0.6648018284874341, 0.47276405783511]
[array([-1.45,  7.59]), 2.098470446196602, 0.9353745785028079, 0.5036787258098354]
[array([-1.45,  7.59]), 2.098470446196602, 0.9353745785028079, 0.5036787258098354]
[array([-1.55,  7.71]), 2.156238924575437, 1.246506979396301, 0.5614472041886704]
[array([-1.55,  7.71]), 2.156238924575437, 1.246506979396301, 0.5614472041886704]
[array([-1.55,  7.71]), 2.156238924575437, 1.246506979396301, 0.5614472041886704]
[array([-1.55,  7.71]), 2.156238924575437, 1.246506979396301, 0.5614472041886704]
[array([-1.74,  7.96]), 2.1962546119346866, 1.6140787656708677, 0.6014628915479199]
[array([-1.74,  7.96]), 2.1962546119346866, 1.6140787656708677, 0.6014628915479199]
[array([-1.91,  8.23]), 2.1243885855887177, 1.5305134088729446, 0.5230673918766182]
[array([-1.91,  8.23]), 2.1243885855887177, 1.5305134088729446, 0.5230673918766182]
[array([-1.98,  8.36]), 2.120765456594502, 1.6010171292681312, 0.5194442628824028]
[array([-1.98,  8.36]), 2.120765456594502, 1.6010171292681312, 0.5194442628824028]
[array([-2.07,  8.49]), 2.134541340380494, 1.7442346613816957, 0.5332201466683946]
[array([-2.07,  8.49]), 2.134541340380494, 1.7442346613816957, 0.5332201466683946]
[array([-2.07,  8.49]), 2.134541340380494, 1.7442346613816957, 0.5332201466683946]
[array([-2.07,  8.49]), 2.134541340380494, 1.7442346613816957, 0.5332201466683946]
[array([-2.2 ,  8.76]), 2.0664413854944783, 1.636995175450795, 0.46512019178237884]
[array([-2.2 ,  8.76]), 2.0664413854944783, 1.636995175450795, 0.46512019178237884]
[array([-2.2 ,  8.76]), 2.0664413854944783, 1.636995175450795, 0.46512019178237884]
[array([-2.34,  9.04]), 2.032151948878097, 1.6617373458603046, 0.43083075516599734]
[array([-2.34,  9.04]), 2.032151948878097, 1.6617373458603046, 0.43083075516599734]
[array([-2.34,  9.04]), 2.032151948878097, 1.6617373458603046, 0.43083075516599734]
[array([-2.45,  9.32]), 1.986604964053427, 1.6087157169690627, 0.38528377034132744]
[array([-2.45,  9.32]), 1.986604964053427, 1.6087157169690627, 0.38528377034132744]
[array([-2.51,  9.46]), 1.9847034278333793, 1.657252191037786, 0.343103668468574]
[array([-2.51,  9.46]), 1.9847034278333793, 1.657252191037786, 0.343103668468574]
[array([-2.51,  9.46]), 1.9847034278333793, 1.657252191037786, 0.343103668468574]
[array([-2.63,  9.74]), 1.9462316587304436, 1.634881618224629, 0.3046318993656383]
[array([-2.63,  9.74]), 1.9462316587304436, 1.634881618224629, 0.3046318993656383]
[array([-2.63,  9.74]), 1.9462316587304436, 1.634881618224629, 0.3046318993656383]
[array([-2.63,  9.74]), 1.9462316587304436, 1.634881618224629, 0.3046318993656383]
[array([-2.7 , 10.03]), 1.8809045084270712, 1.479289980707882, 0.23930474906226595]
[array([-2.74, 10.18]), 1.843104691086154, 1.388574602340369, 0.20150493172134865]
[array([-2.74, 10.18]), 1.843104691086154, 1.388574602340369, 0.20150493172134865]
[array([-2.79, 10.32]), 1.8557494269839279, 1.4704220491202777, 0.21414966761912257]
[array([-2.79, 10.32]), 1.8557494269839279, 1.4704220491202777, 0.21414966761912257]
[array([-2.79, 10.32]), 1.8557494269839279, 1.4704220491202777, 0.21414966761912257]
[array([-2.79, 10.32]), 1.8557494269839279, 1.4704220491202777, 0.21414966761912257]
[array([-2.87, 10.63]), 1.8424346591863134, 1.4910957191347047, 0.20083489982150815]
[array([-2.87, 10.63]), 1.8424346591863134, 1.4910957191347047, 0.20083489982150815]
[array([-2.87, 10.63]), 1.8424346591863134, 1.4910957191347047, 0.20083489982150815]
[array([-2.95, 10.93]), 1.8277552184465649, 1.5055873869704628, 0.16348211049307904]
[array([-2.95, 10.93]), 1.8277552184465649, 1.5055873869704628, 0.16348211049307904]
[array([-2.95, 10.93]), 1.8277552184465649, 1.5055873869704628, 0.16348211049307904]
[array([-2.95, 10.93]), 1.8277552184465649, 1.5055873869704628, 0.16348211049307904]
[array([-2.98, 11.23]), 1.743049502925374, 1.2543966561513622, 0.07877639497188826]
[array([-2.98, 11.23]), 1.743049502925374, 1.2543966561513622, 0.07877639497188826]
[array([-3.01, 11.37]), 1.7510708616346147, 1.2900474007371667, 0.08679775368112885]
[array([-3.01, 11.37]), 1.7510708616346147, 1.2900474007371667, 0.08679775368112885]
[array([-3.01, 11.37]), 1.7510708616346147, 1.2900474007371667, 0.08679775368112885]
[array([-3.05, 11.67]), 1.6877916806755326, 1.1219469208428359, 0.023518572722046827]
[array([-3.05, 11.67]), 1.6877916806755326, 1.1219469208428359, 0.023518572722046827]
[array([-3.06, 11.83]), 1.6737044301509856, 1.0816791410704119, 0.009431322197499759]
[array([-3.06, 11.83]), 1.6737044301509856, 1.0816791410704119, 0.009431322197499759]
[array([-3.07, 11.98]), 1.650645140073637, 1.0148124159471512, -0.013627967879848768]
[array([-3.07, 11.98]), 1.650645140073637, 1.0148124159471512, -0.013627967879848768]
[array([-3.07, 11.98]), 1.650645140073637, 1.0148124159471512, -0.013627967879848768]
[array([-3.08, 12.28]), 1.6287740701510451, 0.9326915342819794, -0.03549903780244068]
[array([-3.08, 12.28]), 1.6287740701510451, 0.9326915342819794, -0.03549903780244068]
[array([-3.08, 12.44]), 1.617660860671897, 0.8912761271516283, -0.05072655927638747]
[array([-3.08, 12.44]), 1.617660860671897, 0.8912761271516283, -0.05072655927638747]
[array([-3.08, 12.59]), 1.5794894627332292, 0.7742325602687853, -0.08889795721505522]
[array([-3.08, 12.59]), 1.5794894627332292, 0.7742325602687853, -0.08889795721505522]
[array([-3.08, 12.59]), 1.5794894627332292, 0.7742325602687853, -0.08889795721505522]
[array([-3.05, 12.89]), 1.4917596152171084, 0.4723176396163337, -0.176627804731176]
[array([-3.05, 12.89]), 1.4917596152171084, 0.4723176396163337, -0.176627804731176]
[array([-3.05, 12.89]), 1.4917596152171084, 0.4723176396163337, -0.176627804731176]
[array([-3. , 13.2]), 1.4765975909391835, 0.3505450852033845, -0.1917898290091009]
[array([-3. , 13.2]), 1.4765975909391835, 0.3505450852033845, -0.1917898290091009]
[array([-2.98, 13.35]), 1.4386246369364684, 0.21517822068401407, -0.22976278301181607]
[array([-2.97, 13.51]), 1.4745777213958506, 0.28422368470322246, -0.1938096985524338]
[array([-2.97, 13.51]), 1.4745777213958506, 0.28422368470322246, -0.1938096985524338]
[array([-2.95, 13.67]), 1.4455679057667516, 0.1637918838149217, -0.22281951418153279]
[array([-2.95, 13.67]), 1.4455679057667516, 0.1637918838149217, -0.22281951418153279]
[array([-2.91, 13.82]), 1.3879779745703953, -0.045847478902324726, -0.28040944537788914]
[array([-2.91, 13.82]), 1.3879779745703953, -0.045847478902324726, -0.28040944537788914]
[array([-2.9 , 13.97]), 1.448167224621747, 0.10036043655078909, -0.19731983099494865]
