-1.42,-0.12
-1.42,-0.12
-1.42,-0.13
-1.42,-0.13
-1.42,-0.13
-1.42,-0.13
-1.42,-0.13
-1.42,-0.13
-1.42,-0.14
-1.42,-0.14
-1.42,-0.14
-1.42,-0.14
-1.41,-0.14
-1.4,-0.15
-1.4,-0.15
-1.38,-0.15
-1.38,-0.15
-1.35,-0.15
-1.35,-0.15
-1.32,-0.17
-1.32,-0.17
-1.29,-0.15
-1.29,-0.15
-1.24,-0.13
-1.24,-0.13
-1.17,-0.14
-1.17,-0.14
-1.11,-0.11
-1.04,-0.11
-1.04,-0.11
-0.95,-0.12
-0.88,-0.11
-0.88,-0.11
-0.78,-0.13
-0.78,-0.13
-0.69,-0.14
-0.69,-0.14
-0.59,-0.15
-0.59,-0.15
-0.48,-0.18
-0.48,-0.18
-0.35,-0.21
-0.35,-0.21
-0.27,-0.23
-0.27,-0.23
-0.11,-0.32
-0.11,-0.32
-0.04,-0.37
0.04,-0.43
0.04,-0.43
0.04,-0.43
0.12,-0.5
0.12,-0.5
0.23,-0.6
0.23,-0.6
0.3,-0.69
0.3,-0.69
0.38,-0.8
0.42,-0.94
0.42,-0.94
0.43,-1.04
0.43,-1.04
0.47,-1.18
0.47,-1.18
0.43,-1.32
0.43,-1.32
0.4,-1.44
0.4,-1.44
0.39,-1.6
0.39,-1.6
0.32,-1.71
0.32,-1.71
0.25,-1.85
0.25,-1.85
0.19,-2.0
0.19,-2.0
0.11,-2.18
0.11,-2.18
0.04,-2.34
0.04,-2.34
-0.04,-2.48
-0.04,-2.48
-0.08,-2.62
-0.08,-2.62
-0.14,-2.76
-0.14,-2.76
-0.17,-2.93
-0.17,-2.93
-0.21,-3.08
-0.21,-3.08
-0.23,-3.25
-0.23,-3.25
-0.24,-3.41
-0.24,-3.41
-0.24,-3.56
-0.24,-3.56
-0.23,-3.7
-0.23,-3.7
-0.22,-3.86
-0.2,-4.04
-0.2,-4.04
-0.17,-4.23
-0.17,-4.23
-0.13,-4.4
-0.13,-4.4
-0.09,-4.57
-0.09,-4.57
-0.04,-4.71
-0.04,-4.71
0.01,-4.86
0.01,-4.86
0.06,-5.03
0.06,-5.03
0.12,-5.2
0.12,-5.2
0.18,-5.36
0.18,-5.36
0.25,-5.51
0.25,-5.51
0.34,-5.65
0.34,-5.65
0.43,-5.79
0.43,-5.79
0.52,-5.93
0.52,-5.93
0.61,-6.05
0.61,-6.05
0.72,-6.17
0.72,-6.17
0.83,-6.29
0.83,-6.29
0.93,-6.42
0.93,-6.42
1.04,-6.53
1.04,-6.53
1.17,-6.61
1.17,-6.61
1.3,-6.74
1.3,-6.74
1.43,-6.84
1.43,-6.84
1.57,-6.92
1.71,-7.01
1.71,-7.01
1.86,-7.08
1.86,-7.08
2.01,-7.13
2.01,-7.13
2.15,-7.18
2.15,-7.18
2.29,-7.24
2.29,-7.24
2.45,-7.28
2.45,-7.28
2.59,-7.32
2.59,-7.32
2.76,-7.34
2.9,-7.36
2.9,-7.36
3.05,-7.38
3.05,-7.38
3.19,-7.39
3.19,-7.39
3.35,-7.39
3.35,-7.39
3.49,-7.39
3.49,-7.39
3.63,-7.38
3.63,-7.38
3.77,-7.36
3.77,-7.36
3.91,-7.35
3.91,-7.35
4.05,-7.32
4.05,-7.32
4.19,-7.27
4.32,-7.24
4.32,-7.24
4.46,-7.21
